"population","demographic_group","indicator","survey_year","value","indicator_type"
adults,South Island women,Cocaine use - past 12 months,2016,,Other
adults,Total Non-disabled,Cocaine use - past 12 months,2016,0.0,Other
adults,Total Disabled,Cocaine use - past 12 months,2016,0.0,Other
adults,Non-disabled men,Cocaine use - past 12 months,2016,0.0,Other
adults,Disabled men,Cocaine use - past 12 months,2016,0.0,Other
adults,Non-disabled women,Cocaine use - past 12 months,2016,0.0,Other
adults,Disabled women,Cocaine use - past 12 months,2016,0.0,Other
adults,Total,Ecstasy/MDMA use - past 12 months,2016,1.4,Other
adults,Men,Ecstasy/MDMA use - past 12 months,2016,2.2,Other
adults,Women,Ecstasy/MDMA use - past 12 months,2016,0.7,Other
adults,"15-24",Ecstasy/MDMA use - past 12 months,2016,3.1,Other
adults,"25-34",Ecstasy/MDMA use - past 12 months,2016,3.5,Other
adults,"35-44",Ecstasy/MDMA use - past 12 months,2016,0.9,Other
adults,"45-54",Ecstasy/MDMA use - past 12 months,2016,0.5,Other
adults,"55-64",Ecstasy/MDMA use - past 12 months,2016,0.2,Other
adults,"65-74",Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,"75+",Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,Total Māori,Ecstasy/MDMA use - past 12 months,2016,1.8,Other
adults,Total Pacific,Ecstasy/MDMA use - past 12 months,2016,1.3,Other
adults,Total Asian,Ecstasy/MDMA use - past 12 months,2016,0.5,Other
adults,Total European/Other,Ecstasy/MDMA use - past 12 months,2016,1.6,Other
adults,Total Northern,Ecstasy/MDMA use - past 12 months,2016,1.3,Other
adults,Total Midland,Ecstasy/MDMA use - past 12 months,2016,1.1,Other
adults,Total Central,Ecstasy/MDMA use - past 12 months,2016,2.0,Other
adults,Total South Island,Ecstasy/MDMA use - past 12 months,2016,1.3,Other
adults,Māori men,Ecstasy/MDMA use - past 12 months,2016,3.1,Other
adults,Māori women,Ecstasy/MDMA use - past 12 months,2016,0.6,Other
adults,Pacific men,Ecstasy/MDMA use - past 12 months,2016,2.1,Other
adults,Pacific women,Ecstasy/MDMA use - past 12 months,2016,0.7,Other
adults,Asian men,Ecstasy/MDMA use - past 12 months,2016,0.9,Other
adults,Asian women,Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,European/Other men,Ecstasy/MDMA use - past 12 months,2016,2.4,Other
adults,European/Other women,Ecstasy/MDMA use - past 12 months,2016,0.8,Other
adults,Northern men,Ecstasy/MDMA use - past 12 months,2016,1.9,Other
adults,Midland men,Ecstasy/MDMA use - past 12 months,2016,1.8,Other
adults,Central men,Ecstasy/MDMA use - past 12 months,2016,2.9,Other
adults,South Island men,Ecstasy/MDMA use - past 12 months,2016,2.1,Other
adults,Northern women,Ecstasy/MDMA use - past 12 months,2016,0.6,Other
adults,Midland women,Ecstasy/MDMA use - past 12 months,2016,0.5,Other
adults,Central women,Ecstasy/MDMA use - past 12 months,2016,1.1,Other
adults,South Island women,Ecstasy/MDMA use - past 12 months,2016,0.5,Other
adults,Total Non-disabled,Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,Total Disabled,Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,Non-disabled men,Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,Disabled men,Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,Non-disabled women,Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,Disabled women,Ecstasy/MDMA use - past 12 months,2016,0.0,Other
adults,Total,Amphetamine-type stimulant use - past 12 months,2016,1.3,Other
adults,Men,Amphetamine-type stimulant use - past 12 months,2016,1.8,Other
adults,Women,Amphetamine-type stimulant use - past 12 months,2016,0.8,Other
adults,"15-24",Amphetamine-type stimulant use - past 12 months,2016,2.3,Other
adults,"25-34",Amphetamine-type stimulant use - past 12 months,2016,2.7,Other
adults,"35-44",Amphetamine-type stimulant use - past 12 months,2016,1.7,Other
adults,"45-54",Amphetamine-type stimulant use - past 12 months,2016,0.6,Other
adults,"55-64",Amphetamine-type stimulant use - past 12 months,2016,0.5,Other
adults,"65-74",Amphetamine-type stimulant use - past 12 months,2016,0.0,Other
adults,"75+",Amphetamine-type stimulant use - past 12 months,2016,0.0,Other
adults,Total Māori,Amphetamine-type stimulant use - past 12 months,2016,2.9,Other
adults,Total Pacific,Amphetamine-type stimulant use - past 12 months,2016,0.5,Other
adults,Total Asian,Amphetamine-type stimulant use - past 12 months,2016,0.4,Other
adults,Total European/Other,Amphetamine-type stimulant use - past 12 months,2016,1.4,Other
adults,Total Northern,Amphetamine-type stimulant use - past 12 months,2016,1.1,Other
adults,Total Midland,Amphetamine-type stimulant use - past 12 months,2016,1.1,Other
adults,Total Central,Amphetamine-type stimulant use - past 12 months,2016,2.2,Other
adults,Total South Island,Amphetamine-type stimulant use - past 12 months,2016,1.0,Other
adults,Māori men,Amphetamine-type stimulant use - past 12 months,2016,3.2,Other
adults,Māori women,Amphetamine-type stimulant use - past 12 months,2016,2.7,Other
adults,Pacific men,Amphetamine-type stimulant use - past 12 months,2016,0.9,Other
adults,Pacific women,Amphetamine-type stimulant use - past 12 months,2016,,Other
adults,Asian men,Amphetamine-type stimulant use - past 12 months,2016,0.7,Other
adults,Asian women,Amphetamine-type stimulant use - past 12 months,2016,0.1,Other
adults,European/Other men,Amphetamine-type stimulant use - past 12 months,2016,2.0,Other
adults,European/Other women,Amphetamine-type stimulant use - past 12 months,2016,0.8,Other
adults,Northern men,Amphetamine-type stimulant use - past 12 months,2016,1.6,Other
adults,Midland men,Amphetamine-type stimulant use - past 12 months,2016,1.5,Other
adults,Central men,Amphetamine-type stimulant use - past 12 months,2016,3.0,Other
adults,South Island men,Amphetamine-type stimulant use - past 12 months,2016,1.4,Other
adults,Northern women,Amphetamine-type stimulant use - past 12 months,2016,0.6,Other
adults,Midland women,Amphetamine-type stimulant use - past 12 months,2016,0.6,Other
adults,Central women,Amphetamine-type stimulant use - past 12 months,2016,1.5,Other
adults,South Island women,Amphetamine-type stimulant use - past 12 months,2016,0.5,Other
adults,Total Non-disabled,Amphetamine-type stimulant use - past 12 months,2016,0.0,Other
adults,Total Disabled,Amphetamine-type stimulant use - past 12 months,2016,0.0,Other
adults,Non-disabled men,Amphetamine-type stimulant use - past 12 months,2016,0.0,Other
adults,Disabled men,Amphetamine-type stimulant use - past 12 months,2016,0.0,Other
adults,Non-disabled women,Amphetamine-type stimulant use - past 12 months,2016,0.0,Other
adults,Disabled women,Amphetamine-type stimulant use - past 12 months,2016,0.0,Other
adults,Total,Sedative or sleeping pill use - past 12 months,2016,0.3,Other
adults,Men,Sedative or sleeping pill use - past 12 months,2016,0.4,Other
adults,Women,Sedative or sleeping pill use - past 12 months,2016,0.3,Other
adults,"15-24",Sedative or sleeping pill use - past 12 months,2016,0.4,Other
adults,"25-34",Sedative or sleeping pill use - past 12 months,2016,0.8,Other
adults,"35-44",Sedative or sleeping pill use - past 12 months,2016,0.5,Other
adults,"45-54",Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,"55-64",Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,"65-74",Sedative or sleeping pill use - past 12 months,2016,0.0,Other
adults,"75+",Sedative or sleeping pill use - past 12 months,2016,,Other
adults,Total Māori,Sedative or sleeping pill use - past 12 months,2016,0.6,Other
adults,Total Pacific,Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,Total Asian,Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,Total European/Other,Sedative or sleeping pill use - past 12 months,2016,0.4,Other
adults,Total Northern,Sedative or sleeping pill use - past 12 months,2016,0.3,Other
adults,Total Midland,Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,Total Central,Sedative or sleeping pill use - past 12 months,2016,0.5,Other
adults,Total South Island,Sedative or sleeping pill use - past 12 months,2016,0.4,Other
adults,Māori men,Sedative or sleeping pill use - past 12 months,2016,0.5,Other
adults,Māori women,Sedative or sleeping pill use - past 12 months,2016,0.7,Other
adults,Pacific men,Sedative or sleeping pill use - past 12 months,2016,,Other
adults,Pacific women,Sedative or sleeping pill use - past 12 months,2016,,Other
adults,Asian men,Sedative or sleeping pill use - past 12 months,2016,,Other
adults,Asian women,Sedative or sleeping pill use - past 12 months,2016,,Other
adults,European/Other men,Sedative or sleeping pill use - past 12 months,2016,0.5,Other
adults,European/Other women,Sedative or sleeping pill use - past 12 months,2016,0.3,Other
adults,Northern men,Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,Midland men,Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,Central men,Sedative or sleeping pill use - past 12 months,2016,0.6,Other
adults,South Island men,Sedative or sleeping pill use - past 12 months,2016,0.6,Other
adults,Northern women,Sedative or sleeping pill use - past 12 months,2016,0.3,Other
adults,Midland women,Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,Central women,Sedative or sleeping pill use - past 12 months,2016,0.4,Other
adults,South Island women,Sedative or sleeping pill use - past 12 months,2016,0.2,Other
adults,Total Non-disabled,Sedative or sleeping pill use - past 12 months,2016,0.0,Other
adults,Total Disabled,Sedative or sleeping pill use - past 12 months,2016,0.0,Other
adults,Non-disabled men,Sedative or sleeping pill use - past 12 months,2016,0.0,Other
adults,Disabled men,Sedative or sleeping pill use - past 12 months,2016,0.0,Other
adults,Non-disabled women,Sedative or sleeping pill use - past 12 months,2016,0.0,Other
adults,Disabled women,Sedative or sleeping pill use - past 12 months,2016,0.0,Other
adults,Total,Hallucinogen use - past 12 months,2016,0.9,Other
adults,Men,Hallucinogen use - past 12 months,2016,1.4,Other
adults,Women,Hallucinogen use - past 12 months,2016,0.3,Other
adults,"15-24",Hallucinogen use - past 12 months,2016,2.3,Other
adults,"25-34",Hallucinogen use - past 12 months,2016,1.8,Other
adults,"35-44",Hallucinogen use - past 12 months,2016,0.6,Other
adults,"45-54",Hallucinogen use - past 12 months,2016,0.4,Other
adults,"55-64",Hallucinogen use - past 12 months,2016,0.1,Other
adults,"65-74",Hallucinogen use - past 12 months,2016,0.0,Other
adults,"75+",Hallucinogen use - past 12 months,2016,0.0,Other
adults,Total Māori,Hallucinogen use - past 12 months,2016,1.2,Other
adults,Total Pacific,Hallucinogen use - past 12 months,2016,0.3,Other
adults,Total Asian,Hallucinogen use - past 12 months,2016,0.4,Other
adults,Total European/Other,Hallucinogen use - past 12 months,2016,1.1,Other
adults,Total Northern,Hallucinogen use - past 12 months,2016,0.6,Other
adults,Total Midland,Hallucinogen use - past 12 months,2016,0.6,Other
adults,Total Central,Hallucinogen use - past 12 months,2016,1.5,Other
adults,Total South Island,Hallucinogen use - past 12 months,2016,1.1,Other
adults,Māori men,Hallucinogen use - past 12 months,2016,1.5,Other
adults,Māori women,Hallucinogen use - past 12 months,2016,0.9,Other
adults,Pacific men,Hallucinogen use - past 12 months,2016,,Other
adults,Pacific women,Hallucinogen use - past 12 months,2016,0.3,Other
adults,Asian men,Hallucinogen use - past 12 months,2016,0.7,Other
adults,Asian women,Hallucinogen use - past 12 months,2016,,Other
adults,European/Other men,Hallucinogen use - past 12 months,2016,1.8,Other
adults,European/Other women,Hallucinogen use - past 12 months,2016,0.4,Other
adults,Northern men,Hallucinogen use - past 12 months,2016,0.9,Other
adults,Midland men,Hallucinogen use - past 12 months,2016,1.0,Other
adults,Central men,Hallucinogen use - past 12 months,2016,2.3,Other
adults,South Island men,Hallucinogen use - past 12 months,2016,1.8,Other
adults,Northern women,Hallucinogen use - past 12 months,2016,0.2,Other
adults,Midland women,Hallucinogen use - past 12 months,2016,0.2,Other
adults,Central women,Hallucinogen use - past 12 months,2016,0.7,Other
adults,South Island women,Hallucinogen use - past 12 months,2016,0.3,Other
adults,Total Non-disabled,Hallucinogen use - past 12 months,2016,0.0,Other
adults,Total Disabled,Hallucinogen use - past 12 months,2016,0.0,Other
adults,Non-disabled men,Hallucinogen use - past 12 months,2016,0.0,Other
adults,Disabled men,Hallucinogen use - past 12 months,2016,0.0,Other
adults,Non-disabled women,Hallucinogen use - past 12 months,2016,0.0,Other
adults,Disabled women,Hallucinogen use - past 12 months,2016,0.0,Other
adults,Total,Opioid use - past 12 months,2016,0.9,Other
adults,Men,Opioid use - past 12 months,2016,1.0,Other
adults,Women,Opioid use - past 12 months,2016,0.7,Other
adults,"15-24",Opioid use - past 12 months,2016,1.5,Other
adults,"25-34",Opioid use - past 12 months,2016,1.6,Other
adults,"35-44",Opioid use - past 12 months,2016,1.5,Other
adults,"45-54",Opioid use - past 12 months,2016,0.3,Other
adults,"55-64",Opioid use - past 12 months,2016,0.2,Other
adults,"65-74",Opioid use - past 12 months,2016,0.0,Other
adults,"75+",Opioid use - past 12 months,2016,,Other
adults,Total Māori,Opioid use - past 12 months,2016,1.5,Other
adults,Total Pacific,Opioid use - past 12 months,2016,0.3,Other
adults,Total Asian,Opioid use - past 12 months,2016,0.2,Other
adults,Total European/Other,Opioid use - past 12 months,2016,0.9,Other
adults,Total Northern,Opioid use - past 12 months,2016,0.6,Other
adults,Total Midland,Opioid use - past 12 months,2016,0.4,Other
adults,Total Central,Opioid use - past 12 months,2016,1.1,Other
adults,Total South Island,Opioid use - past 12 months,2016,1.4,Other
adults,Māori men,Opioid use - past 12 months,2016,1.6,Other
adults,Māori women,Opioid use - past 12 months,2016,1.3,Other
adults,Pacific men,Opioid use - past 12 months,2016,0.0,Other
adults,Pacific women,Opioid use - past 12 months,2016,0.7,Other
adults,Asian men,Opioid use - past 12 months,2016,,Other
adults,Asian women,Opioid use - past 12 months,2016,0.2,Other
adults,European/Other men,Opioid use - past 12 months,2016,1.1,Other
adults,European/Other women,Opioid use - past 12 months,2016,0.7,Other
adults,Northern men,Opioid use - past 12 months,2016,0.7,Other
adults,Midland men,Opioid use - past 12 months,2016,0.5,Other
adults,Central men,Opioid use - past 12 months,2016,1.7,Other
adults,South Island men,Opioid use - past 12 months,2016,1.4,Other
adults,Northern women,Opioid use - past 12 months,2016,0.5,Other
adults,Midland women,Opioid use - past 12 months,2016,0.3,Other
adults,Central women,Opioid use - past 12 months,2016,0.6,Other
adults,South Island women,Opioid use - past 12 months,2016,1.3,Other
adults,Total Non-disabled,Opioid use - past 12 months,2016,0.0,Other
adults,Total Disabled,Opioid use - past 12 months,2016,0.0,Other
adults,Non-disabled men,Opioid use - past 12 months,2016,0.0,Other
adults,Disabled men,Opioid use - past 12 months,2016,0.0,Other
adults,Non-disabled women,Opioid use - past 12 months,2016,0.0,Other
adults,Disabled women,Opioid use - past 12 months,2016,0.0,Other
adults,Total,Meets fruit recommendation,2016,0.0,Behaviour
adults,Men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Women,Meets fruit recommendation,2016,0.0,Behaviour
adults,"15-24",Meets fruit recommendation,2016,0.0,Behaviour
adults,"25-34",Meets fruit recommendation,2016,0.0,Behaviour
adults,"35-44",Meets fruit recommendation,2016,0.0,Behaviour
adults,"45-54",Meets fruit recommendation,2016,0.0,Behaviour
adults,"55-64",Meets fruit recommendation,2016,0.0,Behaviour
adults,"65-74",Meets fruit recommendation,2016,0.0,Behaviour
adults,"75+",Meets fruit recommendation,2016,0.0,Behaviour
adults,Total Māori,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total Pacific,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total Asian,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total European/Other,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total Northern,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total Midland,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total Central,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total South Island,Meets fruit recommendation,2016,0.0,Behaviour
adults,Māori men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Māori women,Meets fruit recommendation,2016,0.0,Behaviour
adults,Pacific men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Pacific women,Meets fruit recommendation,2016,0.0,Behaviour
adults,Asian men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Asian women,Meets fruit recommendation,2016,0.0,Behaviour
adults,European/Other men,Meets fruit recommendation,2016,0.0,Behaviour
adults,European/Other women,Meets fruit recommendation,2016,0.0,Behaviour
adults,Northern men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Midland men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Central men,Meets fruit recommendation,2016,0.0,Behaviour
adults,South Island men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Northern women,Meets fruit recommendation,2016,0.0,Behaviour
adults,Midland women,Meets fruit recommendation,2016,0.0,Behaviour
adults,Central women,Meets fruit recommendation,2016,0.0,Behaviour
adults,South Island women,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total Non-disabled,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total Disabled,Meets fruit recommendation,2016,0.0,Behaviour
adults,Non-disabled men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Disabled men,Meets fruit recommendation,2016,0.0,Behaviour
adults,Non-disabled women,Meets fruit recommendation,2016,0.0,Behaviour
adults,Disabled women,Meets fruit recommendation,2016,0.0,Behaviour
adults,Total,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,"15-24",Meets vegetable recommendation,2016,0.0,Behaviour
adults,"25-34",Meets vegetable recommendation,2016,0.0,Behaviour
adults,"35-44",Meets vegetable recommendation,2016,0.0,Behaviour
adults,"45-54",Meets vegetable recommendation,2016,0.0,Behaviour
adults,"55-64",Meets vegetable recommendation,2016,0.0,Behaviour
adults,"65-74",Meets vegetable recommendation,2016,0.0,Behaviour
adults,"75+",Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total Māori,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total Pacific,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total Asian,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total European/Other,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total Northern,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total Midland,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total Central,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total South Island,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Māori men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Māori women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Pacific men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Pacific women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Asian men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Asian women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,European/Other men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,European/Other women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Northern men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Midland men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Central men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,South Island men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Northern women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Midland women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Central women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,South Island women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total Non-disabled,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total Disabled,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Non-disabled men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Disabled men,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Non-disabled women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Disabled women,Meets vegetable recommendation,2016,0.0,Behaviour
adults,Total,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,"15-24",Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,"25-34",Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,"35-44",Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,"45-54",Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,"55-64",Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,"65-74",Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,"75+",Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total Māori,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total Pacific,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total Asian,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total European/Other,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total Northern,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total Midland,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total Central,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total South Island,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Māori men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Māori women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Pacific men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Pacific women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Asian men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Asian women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,European/Other men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,European/Other women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Northern men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Midland men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Central men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,South Island men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Northern women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Midland women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Central women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,South Island women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total Non-disabled,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total Disabled,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Non-disabled men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Disabled men,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Non-disabled women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Disabled women,Meets both vegetable and fruit recommendation,2016,0.0,Behaviour
adults,Total,Sleeps less than recommended,2016,0.0,Behaviour
adults,Men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Women,Sleeps less than recommended,2016,0.0,Behaviour
adults,"15-24",Sleeps less than recommended,2016,0.0,Behaviour
adults,"25-34",Sleeps less than recommended,2016,0.0,Behaviour
adults,"35-44",Sleeps less than recommended,2016,0.0,Behaviour
adults,"45-54",Sleeps less than recommended,2016,0.0,Behaviour
adults,"55-64",Sleeps less than recommended,2016,0.0,Behaviour
adults,"65-74",Sleeps less than recommended,2016,0.0,Behaviour
adults,"75+",Sleeps less than recommended,2016,0.0,Behaviour
adults,Total Māori,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total Pacific,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total Asian,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total European/Other,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total Northern,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total Midland,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total Central,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total South Island,Sleeps less than recommended,2016,0.0,Behaviour
adults,Māori men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Māori women,Sleeps less than recommended,2016,0.0,Behaviour
adults,Pacific men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Pacific women,Sleeps less than recommended,2016,0.0,Behaviour
adults,Asian men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Asian women,Sleeps less than recommended,2016,0.0,Behaviour
adults,European/Other men,Sleeps less than recommended,2016,0.0,Behaviour
adults,European/Other women,Sleeps less than recommended,2016,0.0,Behaviour
adults,Northern men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Midland men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Central men,Sleeps less than recommended,2016,0.0,Behaviour
adults,South Island men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Northern women,Sleeps less than recommended,2016,0.0,Behaviour
adults,Midland women,Sleeps less than recommended,2016,0.0,Behaviour
adults,Central women,Sleeps less than recommended,2016,0.0,Behaviour
adults,South Island women,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total Non-disabled,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total Disabled,Sleeps less than recommended,2016,0.0,Behaviour
adults,Non-disabled men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Disabled men,Sleeps less than recommended,2016,0.0,Behaviour
adults,Non-disabled women,Sleeps less than recommended,2016,0.0,Behaviour
adults,Disabled women,Sleeps less than recommended,2016,0.0,Behaviour
adults,Total,Meets sleep duration recommendations,2016,0.0,Other
adults,Men,Meets sleep duration recommendations,2016,0.0,Other
adults,Women,Meets sleep duration recommendations,2016,0.0,Other
adults,"15-24",Meets sleep duration recommendations,2016,0.0,Other
adults,"25-34",Meets sleep duration recommendations,2016,0.0,Other
adults,"35-44",Meets sleep duration recommendations,2016,0.0,Other
adults,"45-54",Meets sleep duration recommendations,2016,0.0,Other
adults,"55-64",Meets sleep duration recommendations,2016,0.0,Other
adults,"65-74",Meets sleep duration recommendations,2016,0.0,Other
adults,"75+",Meets sleep duration recommendations,2016,0.0,Other
adults,Total Māori,Meets sleep duration recommendations,2016,0.0,Other
adults,Total Pacific,Meets sleep duration recommendations,2016,0.0,Other
adults,Total Asian,Meets sleep duration recommendations,2016,0.0,Other
adults,Total European/Other,Meets sleep duration recommendations,2016,0.0,Other
adults,Total Northern,Meets sleep duration recommendations,2016,0.0,Other
adults,Total Midland,Meets sleep duration recommendations,2016,0.0,Other
adults,Total Central,Meets sleep duration recommendations,2016,0.0,Other
adults,Total South Island,Meets sleep duration recommendations,2016,0.0,Other
adults,Māori men,Meets sleep duration recommendations,2016,0.0,Other
adults,Māori women,Meets sleep duration recommendations,2016,0.0,Other
adults,Pacific men,Meets sleep duration recommendations,2016,0.0,Other
adults,Pacific women,Meets sleep duration recommendations,2016,0.0,Other
adults,Asian men,Meets sleep duration recommendations,2016,0.0,Other
adults,Asian women,Meets sleep duration recommendations,2016,0.0,Other
adults,European/Other men,Meets sleep duration recommendations,2016,0.0,Other
adults,European/Other women,Meets sleep duration recommendations,2016,0.0,Other
adults,Northern men,Meets sleep duration recommendations,2016,0.0,Other
adults,Midland men,Meets sleep duration recommendations,2016,0.0,Other
adults,Central men,Meets sleep duration recommendations,2016,0.0,Other
adults,South Island men,Meets sleep duration recommendations,2016,0.0,Other
adults,Northern women,Meets sleep duration recommendations,2016,0.0,Other
adults,Midland women,Meets sleep duration recommendations,2016,0.0,Other
adults,Central women,Meets sleep duration recommendations,2016,0.0,Other
adults,South Island women,Meets sleep duration recommendations,2016,0.0,Other
adults,Total Non-disabled,Meets sleep duration recommendations,2016,0.0,Other
adults,Total Disabled,Meets sleep duration recommendations,2016,0.0,Other
adults,Non-disabled men,Meets sleep duration recommendations,2016,0.0,Other
adults,Disabled men,Meets sleep duration recommendations,2016,0.0,Other
