"population","demographic_group","indicator","survey_year","value","indicator_type"
children,European/Other girls,Teeth removed due to decay in lifetime,2011,10.0,Other
children,Northern boys,Teeth removed due to decay in lifetime,2011,11.6,Other
children,Midland boys,Teeth removed due to decay in lifetime,2011,11.3,Other
children,Central boys,Teeth removed due to decay in lifetime,2011,10.2,Other
children,South Island boys,Teeth removed due to decay in lifetime,2011,12.4,Other
children,Northern girls,Teeth removed due to decay in lifetime,2011,10.6,Other
children,Midland girls,Teeth removed due to decay in lifetime,2011,9.0,Other
children,Central girls,Teeth removed due to decay in lifetime,2011,10.8,Other
children,South Island girls,Teeth removed due to decay in lifetime,2011,13.3,Other
children,Total Non-disabled,Teeth removed due to decay in lifetime,2011,0.0,Other
children,Total Disabled,Teeth removed due to decay in lifetime,2011,0.0,Other
children,Non-disabled boys,Teeth removed due to decay in lifetime,2011,0.0,Other
children,Disabled boys,Teeth removed due to decay in lifetime,2011,0.0,Other
children,Non-disabled girls,Teeth removed due to decay in lifetime,2011,0.0,Other
children,Disabled girls,Teeth removed due to decay in lifetime,2011,0.0,Other
children,Total,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Boys,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Girls,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,"0-4",Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,"5-9",Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,"10-14",Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total Māori,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total Pacific,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total Asian,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total European/Other,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total Northern,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total Midland,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total Central,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
children,Total South Island,Tooth brushing twice a day or more with standard fluoride toothpaste,2011,0.0,Other
