"population","indicator","year","comparison","rate_ratio","low_ci","high_ci","adjusted_factors"
children,Teeth removed due to decay in lifetime,2024,Asian vs non-Asian,0.66,0.46,0.96,"Age, gender"
children,Teeth removed due to decay in lifetime,2024,Asian boys vs non-Asian boys,0.76,0.45,1.31,Age
children,Teeth removed due to decay in lifetime,2024,Asian girls vs non-Asian girls,0.59,0.33,1.05,Age
children,Teeth removed due to decay in lifetime,2024,Most deprived vs least deprived,1.32,0.73,2.4,"Age, gender, ethnic group"
children,Teeth removed due to decay in lifetime,2024,Most deprived vs least deprived - boys,1.99,0.72,5.52,"Age, ethnic group"
children,Teeth removed due to decay in lifetime,2024,Most deprived vs least deprived - girls,0.97,0.43,2.17,"Age, ethnic group"
children,Teeth removed due to decay in lifetime,2024,Disabled children vs non-disabled children (5-14),1.07,0.65,1.78,"Age, gender"
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Boys vs girls,0.88,0.82,0.95,Age
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Māori vs non-Māori,0.79,0.72,0.88,"Age, gender"
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Māori boys vs non-Māori boys,0.85,0.73,1.0,Age
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Māori girls vs non-Māori girls,0.74,0.66,0.84,Age
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Pacific vs non-Pacific,0.92,0.82,1.02,"Age, gender"
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Pacific boys vs non-Pacific boys,0.93,0.79,1.11,Age
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Pacific girls vs non-Pacific girls,0.91,0.79,1.04,Age
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Asian vs non-Asian,1.16,1.08,1.25,"Age, gender"
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Asian boys vs non-Asian boys,1.19,1.06,1.35,Age
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Asian girls vs non-Asian girls,1.12,1.02,1.24,Age
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Most deprived vs least deprived,0.68,0.58,0.8,"Age, gender, ethnic group"
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Most deprived vs least deprived - boys,0.58,0.45,0.75,"Age, ethnic group"
children,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Most deprived vs least deprived - girls,0.8,0.67,0.94,"Age, ethnic group"
