"population","indicator","year","comparison","rate_ratio","low_ci","high_ci","adjusted_factors"
adults,Teeth removed due to decay in past 12 months,2024,Most deprived vs least deprived - men,1.09,0.64,1.86,"Age, ethnic group"
adults,Teeth removed due to decay in past 12 months,2024,Most deprived vs least deprived - women,1.41,0.78,2.56,"Age, ethnic group"
adults,Teeth removed due to decay in past 12 months,2024,Disabled adults vs non-disabled adults,1.3,1.01,1.69,"Age, gender"
adults,Teeth removed due to decay in lifetime,2024,Men vs women,1.11,1.06,1.16,Age
adults,Teeth removed due to decay in lifetime,2024,Māori vs non-Māori,1.32,1.25,1.39,"Age, gender"
adults,Teeth removed due to decay in lifetime,2024,Māori men vs non-Māori men,1.23,1.12,1.34,Age
adults,Teeth removed due to decay in lifetime,2024,Māori women vs non-Māori women,1.42,1.32,1.52,Age
adults,Teeth removed due to decay in lifetime,2024,Pacific vs non-Pacific,1.29,1.2,1.4,"Age, gender"
adults,Teeth removed due to decay in lifetime,2024,Pacific men vs non-Pacific men,1.16,1.01,1.32,Age
adults,Teeth removed due to decay in lifetime,2024,Pacific women vs non-Pacific women,1.42,1.31,1.55,Age
adults,Teeth removed due to decay in lifetime,2024,Asian vs non-Asian,0.93,0.86,1.0,"Age, gender"
adults,Teeth removed due to decay in lifetime,2024,Asian men vs non-Asian men,0.91,0.81,1.02,Age
adults,Teeth removed due to decay in lifetime,2024,Asian women vs non-Asian women,0.96,0.89,1.04,Age
adults,Teeth removed due to decay in lifetime,2024,Most deprived vs least deprived,1.47,1.31,1.66,"Age, gender, ethnic group"
adults,Teeth removed due to decay in lifetime,2024,Most deprived vs least deprived - men,1.37,1.17,1.61,"Age, ethnic group"
adults,Teeth removed due to decay in lifetime,2024,Most deprived vs least deprived - women,1.57,1.36,1.82,"Age, ethnic group"
adults,Teeth removed due to decay in lifetime,2024,Disabled adults vs non-disabled adults,1.23,1.14,1.33,"Age, gender"
adults,All teeth removed due to decay,2024,Men vs women,1.06,0.91,1.24,Age
adults,All teeth removed due to decay,2024,Māori vs non-Māori,2.3,1.88,2.81,"Age, gender"
adults,All teeth removed due to decay,2024,Māori men vs non-Māori men,2.19,1.58,3.04,Age
adults,All teeth removed due to decay,2024,Māori women vs non-Māori women,2.4,1.87,3.09,Age
adults,All teeth removed due to decay,2024,Pacific vs non-Pacific,1.22,0.76,1.95,"Age, gender"
adults,All teeth removed due to decay,2024,Pacific men vs non-Pacific men,1.82,0.93,3.56,Age
adults,All teeth removed due to decay,2024,Pacific women vs non-Pacific women,0.79,0.44,1.42,Age
adults,All teeth removed due to decay,2024,Asian vs non-Asian,0.45,0.2,1.02,"Age, gender"
adults,All teeth removed due to decay,2024,Asian men vs non-Asian men,0.56,0.28,1.14,Age
adults,All teeth removed due to decay,2024,Asian women vs non-Asian women,0.36,0.06,2.24,Age
adults,All teeth removed due to decay,2024,Most deprived vs least deprived,6.21,4.07,9.47,"Age, gender, ethnic group"
adults,All teeth removed due to decay,2024,Most deprived vs least deprived - men,4.32,2.42,7.72,"Age, ethnic group"
adults,All teeth removed due to decay,2024,Most deprived vs least deprived - women,8.89,5.08,15.58,"Age, ethnic group"
adults,All teeth removed due to decay,2024,Disabled adults vs non-disabled adults,1.88,1.54,2.3,"Age, gender"
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Men vs women,0.79,0.76,0.82,Age
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Māori vs non-Māori,0.72,0.67,0.78,"Age, gender"
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Māori men vs non-Māori men,0.68,0.59,0.79,Age
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Māori women vs non-Māori women,0.75,0.7,0.81,Age
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Pacific vs non-Pacific,0.85,0.77,0.94,"Age, gender"
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Pacific men vs non-Pacific men,0.77,0.63,0.95,Age
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Pacific women vs non-Pacific women,0.91,0.83,0.99,Age
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Asian vs non-Asian,1.21,1.16,1.26,"Age, gender"
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Asian men vs non-Asian men,1.23,1.13,1.33,Age
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Asian women vs non-Asian women,1.2,1.14,1.26,Age
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Most deprived vs least deprived,0.69,0.63,0.75,"Age, gender, ethnic group"
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Most deprived vs least deprived - men,0.67,0.57,0.79,"Age, ethnic group"
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Most deprived vs least deprived - women,0.7,0.64,0.77,"Age, ethnic group"
adults,Tooth brushing twice a day or more with standard fluoride toothpaste,2024,Disabled adults vs non-disabled adults,0.82,0.76,0.89,"Age, gender"
adults,Psychological distress - high or very high,2024,Men vs women,0.67,0.58,0.78,Age
adults,Psychological distress - high or very high,2024,Māori vs non-Māori,1.55,1.32,1.82,"Age, gender"
adults,Psychological distress - high or very high,2024,Māori men vs non-Māori men,2.03,1.56,2.63,Age
adults,Psychological distress - high or very high,2024,Māori women vs non-Māori women,1.29,1.06,1.55,Age
adults,Psychological distress - high or very high,2024,Pacific vs non-Pacific,1.52,1.25,1.86,"Age, gender"
adults,Psychological distress - high or very high,2024,Pacific men vs non-Pacific men,1.26,0.84,1.88,Age
adults,Psychological distress - high or very high,2024,Pacific women vs non-Pacific women,1.7,1.39,2.08,Age
adults,Psychological distress - high or very high,2024,Asian vs non-Asian,0.61,0.49,0.77,"Age, gender"
adults,Psychological distress - high or very high,2024,Asian men vs non-Asian men,0.49,0.33,0.72,Age
adults,Psychological distress - high or very high,2024,Asian women vs non-Asian women,0.7,0.55,0.89,Age
adults,Psychological distress - high or very high,2024,Most deprived vs least deprived,2.08,1.58,2.73,"Age, gender, ethnic group"
adults,Psychological distress - high or very high,2024,Most deprived vs least deprived - men,2.22,1.37,3.58,"Age, ethnic group"
adults,Psychological distress - high or very high,2024,Most deprived vs least deprived - women,2.07,1.46,2.92,"Age, ethnic group"
adults,Psychological distress - high or very high,2024,Disabled adults vs non-disabled adults,3.47,3.04,3.95,"Age, gender"
adults,Psychological distress - very high,2024,Men vs women,0.62,0.48,0.8,Age
adults,Psychological distress - very high,2024,Māori vs non-Māori,1.74,1.29,2.34,"Age, gender"
adults,Psychological distress - very high,2024,Māori men vs non-Māori men,2.06,1.24,3.43,Age
adults,Psychological distress - very high,2024,Māori women vs non-Māori women,1.53,1.05,2.23,Age
adults,Psychological distress - very high,2024,Pacific vs non-Pacific,1.9,1.32,2.74,"Age, gender"
adults,Psychological distress - very high,2024,Pacific men vs non-Pacific men,1.31,0.6,2.84,Age
adults,Psychological distress - very high,2024,Pacific women vs non-Pacific women,2.3,1.59,3.34,Age
adults,Psychological distress - very high,2024,Asian vs non-Asian,0.59,0.35,1.01,"Age, gender"
adults,Psychological distress - very high,2024,Asian men vs non-Asian men,0.77,0.35,1.7,Age
adults,Psychological distress - very high,2024,Asian women vs non-Asian women,0.45,0.2,1.01,Age
adults,Psychological distress - very high,2024,Most deprived vs least deprived,2.17,1.24,3.77,"Age, gender, ethnic group"
adults,Psychological distress - very high,2024,Most deprived vs least deprived - men,1.5,0.55,4.12,"Age, ethnic group"
adults,Psychological distress - very high,2024,Most deprived vs least deprived - women,3.07,1.7,5.54,"Age, ethnic group"
adults,Psychological distress - very high,2024,Disabled adults vs non-disabled adults,5.42,4.16,7.07,"Age, gender"
adults,Psychological distress - high,2024,Men vs women,0.7,0.59,0.83,Age
adults,Psychological distress - high,2024,Māori vs non-Māori,1.46,1.2,1.78,"Age, gender"
adults,Psychological distress - high,2024,Māori men vs non-Māori men,2.0,1.46,2.75,Age
adults,Psychological distress - high,2024,Māori women vs non-Māori women,1.17,0.92,1.48,Age
adults,Psychological distress - high,2024,Pacific vs non-Pacific,1.35,1.02,1.78,"Age, gender"
adults,Psychological distress - high,2024,Pacific men vs non-Pacific men,1.23,0.73,2.06,Age
adults,Psychological distress - high,2024,Pacific women vs non-Pacific women,1.42,1.07,1.87,Age
adults,Psychological distress - high,2024,Asian vs non-Asian,0.62,0.47,0.82,"Age, gender"
adults,Psychological distress - high,2024,Asian men vs non-Asian men,0.38,0.22,0.64,Age
adults,Psychological distress - high,2024,Asian women vs non-Asian women,0.83,0.6,1.17,Age
adults,Psychological distress - high,2024,Most deprived vs least deprived,2.04,1.44,2.89,"Age, gender, ethnic group"
adults,Psychological distress - high,2024,Most deprived vs least deprived - men,2.61,1.39,4.91,"Age, ethnic group"
adults,Psychological distress - high,2024,Most deprived vs least deprived - women,1.74,1.13,2.67,"Age, ethnic group"
adults,Psychological distress - high,2024,Disabled adults vs non-disabled adults,2.81,2.32,3.41,"Age, gender"
adults,Psychological distress - moderate,2024,Men vs women,0.85,0.76,0.95,Age
adults,Psychological distress - moderate,2024,Māori vs non-Māori,1.26,1.11,1.43,"Age, gender"
adults,Psychological distress - moderate,2024,Māori men vs non-Māori men,1.32,1.05,1.66,Age
adults,Psychological distress - moderate,2024,Māori women vs non-Māori women,1.22,1.03,1.44,Age
adults,Psychological distress - moderate,2024,Pacific vs non-Pacific,1.06,0.89,1.28,"Age, gender"
adults,Psychological distress - moderate,2024,Pacific men vs non-Pacific men,1.09,0.79,1.52,Age
adults,Psychological distress - moderate,2024,Pacific women vs non-Pacific women,1.06,0.82,1.36,Age
adults,Psychological distress - moderate,2024,Asian vs non-Asian,0.73,0.61,0.86,"Age, gender"
adults,Psychological distress - moderate,2024,Asian men vs non-Asian men,0.69,0.54,0.88,Age
adults,Psychological distress - moderate,2024,Asian women vs non-Asian women,0.76,0.6,0.95,Age
adults,Psychological distress - moderate,2024,Most deprived vs least deprived,1.11,0.92,1.34,"Age, gender, ethnic group"
adults,Psychological distress - moderate,2024,Most deprived vs least deprived - men,1.18,0.88,1.58,"Age, ethnic group"
adults,Psychological distress - moderate,2024,Most deprived vs least deprived - women,1.06,0.8,1.4,"Age, ethnic group"
adults,Psychological distress - moderate,2024,Disabled adults vs non-disabled adults,1.45,1.24,1.7,"Age, gender"
adults,Psychological distress - low,2024,Men vs women,1.14,1.09,1.19,Age
adults,Psychological distress - low,2024,Māori vs non-Māori,0.81,0.76,0.87,"Age, gender"
adults,Psychological distress - low,2024,Māori men vs non-Māori men,0.78,0.7,0.86,Age
adults,Psychological distress - low,2024,Māori women vs non-Māori women,0.85,0.78,0.92,Age
adults,Psychological distress - low,2024,Pacific vs non-Pacific,0.86,0.79,0.95,"Age, gender"
adults,Psychological distress - low,2024,Pacific men vs non-Pacific men,0.93,0.82,1.06,Age
adults,Psychological distress - low,2024,Pacific women vs non-Pacific women,0.79,0.7,0.9,Age
adults,Psychological distress - low,2024,Asian vs non-Asian,1.19,1.14,1.24,"Age, gender"
adults,Psychological distress - low,2024,Asian men vs non-Asian men,1.2,1.13,1.27,Age
adults,Psychological distress - low,2024,Asian women vs non-Asian women,1.19,1.12,1.26,Age
adults,Psychological distress - low,2024,Most deprived vs least deprived,0.83,0.77,0.89,"Age, gender, ethnic group"
adults,Psychological distress - low,2024,Most deprived vs least deprived - men,0.84,0.76,0.94,"Age, ethnic group"
adults,Psychological distress - low,2024,Most deprived vs least deprived - women,0.81,0.73,0.9,"Age, ethnic group"
adults,Psychological distress - low,2024,Disabled adults vs non-disabled adults,0.48,0.43,0.54,"Age, gender"
adults,Mean K10 score,2024,Men vs women,0.78,0.73,0.83,Age
adults,Mean K10 score,2024,Māori vs non-Māori,1.35,1.24,1.48,"Age, gender"
adults,Mean K10 score,2024,Māori men vs non-Māori men,1.51,1.31,1.73,Age
adults,Mean K10 score,2024,Māori women vs non-Māori women,1.24,1.12,1.37,Age
adults,Mean K10 score,2024,Pacific vs non-Pacific,1.3,1.17,1.46,"Age, gender"
adults,Mean K10 score,2024,Pacific men vs non-Pacific men,1.11,0.9,1.37,Age
adults,Mean K10 score,2024,Pacific women vs non-Pacific women,1.44,1.28,1.63,Age
adults,Mean K10 score,2024,Asian vs non-Asian,0.68,0.6,0.77,"Age, gender"
adults,Mean K10 score,2024,Asian men vs non-Asian men,0.63,0.5,0.79,Age
adults,Mean K10 score,2024,Asian women vs non-Asian women,0.7,0.62,0.8,Age
adults,Mean K10 score,2024,Most deprived vs least deprived,1.41,1.24,1.61,"Age, gender, ethnic group"
adults,Mean K10 score,2024,Most deprived vs least deprived - men,1.36,1.12,1.65,"Age, ethnic group"
adults,Mean K10 score,2024,Most deprived vs least deprived - women,1.47,1.28,1.7,"Age, ethnic group"
adults,Mean K10 score,2024,Disabled adults vs non-disabled adults,2.22,2.08,2.37,"Age, gender"
adults,Lonely none or a little of the time,2024,Men vs women,1.05,1.03,1.07,Age
adults,Lonely none or a little of the time,2024,Māori vs non-Māori,0.95,0.92,0.98,"Age, gender"
adults,Lonely none or a little of the time,2024,Māori men vs non-Māori men,0.95,0.92,0.99,Age
adults,Lonely none or a little of the time,2024,Māori women vs non-Māori women,0.95,0.91,0.99,Age
adults,Lonely none or a little of the time,2024,Pacific vs non-Pacific,0.97,0.93,1.02,"Age, gender"
adults,Lonely none or a little of the time,2024,Pacific men vs non-Pacific men,1.03,0.98,1.09,Age
adults,Lonely none or a little of the time,2024,Pacific women vs non-Pacific women,0.92,0.86,0.98,Age
adults,Lonely none or a little of the time,2024,Asian vs non-Asian,0.99,0.96,1.03,"Age, gender"
adults,Lonely none or a little of the time,2024,Asian men vs non-Asian men,0.99,0.95,1.03,Age
adults,Lonely none or a little of the time,2024,Asian women vs non-Asian women,1.0,0.95,1.05,Age
adults,Lonely none or a little of the time,2024,Most deprived vs least deprived,0.9,0.87,0.94,"Age, gender, ethnic group"
adults,Lonely none or a little of the time,2024,Most deprived vs least deprived - men,0.9,0.86,0.95,"Age, ethnic group"
adults,Lonely none or a little of the time,2024,Most deprived vs least deprived - women,0.9,0.85,0.96,"Age, ethnic group"
adults,Lonely none or a little of the time,2024,Disabled adults vs non-disabled adults,0.77,0.73,0.82,"Age, gender"
adults,Lonely some of the time,2024,Men vs women,0.73,0.6,0.88,Age
adults,Lonely some of the time,2024,Māori vs non-Māori,1.23,1.02,1.48,"Age, gender"
adults,Lonely some of the time,2024,Māori men vs non-Māori men,1.43,1.02,2.0,Age
adults,Lonely some of the time,2024,Māori women vs non-Māori women,1.03,0.81,1.31,Age
adults,Lonely some of the time,2024,Pacific vs non-Pacific,1.01,0.74,1.37,"Age, gender"
adults,Lonely some of the time,2024,Pacific men vs non-Pacific men,0.87,0.42,1.78,Age
adults,Lonely some of the time,2024,Pacific women vs non-Pacific women,1.09,0.78,1.53,Age
adults,Lonely some of the time,2024,Asian vs non-Asian,1.2,0.96,1.5,"Age, gender"
adults,Lonely some of the time,2024,Asian men vs non-Asian men,1.02,0.73,1.42,Age
adults,Lonely some of the time,2024,Asian women vs non-Asian women,1.34,0.99,1.83,Age
adults,Lonely some of the time,2024,Most deprived vs least deprived,1.49,1.08,2.04,"Age, gender, ethnic group"
adults,Lonely some of the time,2024,Most deprived vs least deprived - men,1.86,1.04,3.32,"Age, ethnic group"
adults,Lonely some of the time,2024,Most deprived vs least deprived - women,1.32,0.88,1.99,"Age, ethnic group"
adults,Lonely some of the time,2024,Disabled adults vs non-disabled adults,2.13,1.67,2.72,"Age, gender"
adults,Lonely most or all of the time,2024,Men vs women,0.76,0.6,0.97,Age
adults,Lonely most or all of the time,2024,Māori vs non-Māori,1.64,1.22,2.2,"Age, gender"
adults,Lonely most or all of the time,2024,Māori men vs non-Māori men,1.3,0.81,2.1,Age
adults,Lonely most or all of the time,2024,Māori women vs non-Māori women,1.9,1.35,2.69,Age
adults,Lonely most or all of the time,2024,Pacific vs non-Pacific,1.52,1.01,2.3,"Age, gender"
adults,Lonely most or all of the time,2024,Pacific men vs non-Pacific men,0.55,0.21,1.41,Age
adults,Lonely most or all of the time,2024,Pacific women vs non-Pacific women,2.28,1.49,3.48,Age
adults,Lonely most or all of the time,2024,Asian vs non-Asian,0.75,0.49,1.16,"Age, gender"
adults,Lonely most or all of the time,2024,Asian men vs non-Asian men,1.11,0.58,2.11,Age
adults,Lonely most or all of the time,2024,Asian women vs non-Asian women,0.48,0.27,0.86,Age
adults,Lonely most or all of the time,2024,Most deprived vs least deprived,3.47,1.84,6.52,"Age, gender, ethnic group"
adults,Lonely most or all of the time,2024,Most deprived vs least deprived - men,3.28,1.31,8.22,"Age, ethnic group"
adults,Lonely most or all of the time,2024,Most deprived vs least deprived - women,3.47,1.67,7.2,"Age, ethnic group"
adults,Lonely most or all of the time,2024,Disabled adults vs non-disabled adults,4.39,3.44,5.6,"Age, gender"
adults,Stroke,2024,Men vs women,1.39,1.0,1.92,Age
adults,Stroke,2024,Māori vs non-Māori,1.44,0.96,2.17,"Age, gender"
adults,Stroke,2024,Māori men vs non-Māori men,1.68,0.91,3.09,Age
adults,Stroke,2024,Māori women vs non-Māori women,1.15,0.69,1.91,Age
adults,Stroke,2024,Pacific vs non-Pacific,1.9,0.94,3.84,"Age, gender"
adults,Stroke,2024,Pacific men vs non-Pacific men,2.04,0.67,6.27,Age
adults,Stroke,2024,Pacific women vs non-Pacific women,1.73,0.75,3.98,Age
adults,Stroke,2024,Asian vs non-Asian,0.88,0.38,2.01,"Age, gender"
adults,Stroke,2024,Asian men vs non-Asian men,0.59,0.13,2.58,Age
adults,Stroke,2024,Asian women vs non-Asian women,1.3,0.38,4.49,Age
adults,Stroke,2024,Most deprived vs least deprived,1.42,0.81,2.49,"Age, gender, ethnic group"
adults,Stroke,2024,Most deprived vs least deprived - men,1.38,0.57,3.39,"Age, ethnic group"
adults,Stroke,2024,Most deprived vs least deprived - women,1.48,0.66,3.31,"Age, ethnic group"
adults,Stroke,2024,Disabled adults vs non-disabled adults,2.08,1.45,2.99,"Age, gender"
adults,Heart failure,2024,Men vs women,1.68,1.19,2.36,Age
adults,Heart failure,2024,Māori vs non-Māori,1.76,1.13,2.74,"Age, gender"
adults,Heart failure,2024,Māori men vs non-Māori men,1.63,0.95,2.78,Age
adults,Heart failure,2024,Māori women vs non-Māori women,1.98,0.96,4.1,Age
adults,Heart failure,2024,Pacific vs non-Pacific,1.16,0.48,2.78,"Age, gender"
adults,Heart failure,2024,Pacific men vs non-Pacific men,1.93,0.72,5.2,Age
adults,Heart failure,2024,Pacific women vs non-Pacific women,0.31,0.08,1.29,Age
adults,Heart failure,2024,Asian vs non-Asian,0.97,0.44,2.13,"Age, gender"
adults,Heart failure,2024,Asian men vs non-Asian men,0.66,0.25,1.78,Age
adults,Heart failure,2024,Asian women vs non-Asian women,1.46,0.48,4.45,Age
adults,Heart failure,2024,Most deprived vs least deprived,1.9,1.02,3.54,"Age, gender, ethnic group"
adults,Heart failure,2024,Most deprived vs least deprived - men,1.86,0.68,5.07,"Age, ethnic group"
adults,Heart failure,2024,Most deprived vs least deprived - women,1.94,0.83,4.53,"Age, ethnic group"
adults,Heart failure,2024,Disabled adults vs non-disabled adults,2.78,1.93,4.01,"Age, gender"
adults,High blood pressure (medicated),2024,Men vs women,1.09,1.0,1.18,Age
adults,High blood pressure (medicated),2024,Māori vs non-Māori,1.27,1.13,1.43,"Age, gender"
adults,High blood pressure (medicated),2024,Māori men vs non-Māori men,1.14,0.94,1.38,Age
adults,High blood pressure (medicated),2024,Māori women vs non-Māori women,1.39,1.2,1.62,Age
adults,High blood pressure (medicated),2024,Pacific vs non-Pacific,1.48,1.27,1.73,"Age, gender"
adults,High blood pressure (medicated),2024,Pacific men vs non-Pacific men,1.69,1.34,2.12,Age
adults,High blood pressure (medicated),2024,Pacific women vs non-Pacific women,1.33,1.08,1.64,Age
adults,High blood pressure (medicated),2024,Asian vs non-Asian,1.05,0.88,1.25,"Age, gender"
adults,High blood pressure (medicated),2024,Asian men vs non-Asian men,1.08,0.82,1.41,Age
adults,High blood pressure (medicated),2024,Asian women vs non-Asian women,1.01,0.79,1.31,Age
adults,High blood pressure (medicated),2024,Most deprived vs least deprived,1.4,1.18,1.66,"Age, gender, ethnic group"
adults,High blood pressure (medicated),2024,Most deprived vs least deprived - men,1.13,0.88,1.46,"Age, ethnic group"
adults,High blood pressure (medicated),2024,Most deprived vs least deprived - women,1.71,1.37,2.15,"Age, ethnic group"
adults,High blood pressure (medicated),2024,Disabled adults vs non-disabled adults,1.27,1.13,1.43,"Age, gender"
adults,High cholesterol (medicated),2024,Men vs women,1.47,1.29,1.69,Age
adults,High cholesterol (medicated),2024,Māori vs non-Māori,1.22,1.05,1.41,"Age, gender"
adults,High cholesterol (medicated),2024,Māori men vs non-Māori men,1.08,0.86,1.36,Age
adults,High cholesterol (medicated),2024,Māori women vs non-Māori women,1.4,1.11,1.75,Age
adults,High cholesterol (medicated),2024,Pacific vs non-Pacific,1.47,1.2,1.8,"Age, gender"
adults,High cholesterol (medicated),2024,Pacific men vs non-Pacific men,1.61,1.2,2.17,Age
adults,High cholesterol (medicated),2024,Pacific women vs non-Pacific women,1.32,1.01,1.74,Age
adults,High cholesterol (medicated),2024,Asian vs non-Asian,1.01,0.75,1.37,"Age, gender"
adults,High cholesterol (medicated),2024,Asian men vs non-Asian men,0.92,0.65,1.31,Age
adults,High cholesterol (medicated),2024,Asian women vs non-Asian women,1.13,0.73,1.74,Age
adults,High cholesterol (medicated),2024,Most deprived vs least deprived,1.25,1.0,1.57,"Age, gender, ethnic group"
adults,High cholesterol (medicated),2024,Most deprived vs least deprived - men,0.92,0.67,1.27,"Age, ethnic group"
adults,High cholesterol (medicated),2024,Most deprived vs least deprived - women,1.89,1.32,2.7,"Age, ethnic group"
adults,High cholesterol (medicated),2024,Disabled adults vs non-disabled adults,1.17,1.01,1.36,"Age, gender"
adults,Ischaemic heart disease,2024,Men vs women,2.01,1.62,2.5,Age
adults,Ischaemic heart disease,2024,Māori vs non-Māori,1.77,1.35,2.32,"Age, gender"
adults,Ischaemic heart disease,2024,Māori men vs non-Māori men,1.6,1.15,2.22,Age
adults,Ischaemic heart disease,2024,Māori women vs non-Māori women,2.1,1.34,3.31,Age
adults,Ischaemic heart disease,2024,Pacific vs non-Pacific,2.09,1.52,2.86,"Age, gender"
adults,Ischaemic heart disease,2024,Pacific men vs non-Pacific men,1.98,1.23,3.18,Age
adults,Ischaemic heart disease,2024,Pacific women vs non-Pacific women,2.25,1.43,3.52,Age
adults,Ischaemic heart disease,2024,Asian vs non-Asian,0.88,0.56,1.37,"Age, gender"
adults,Ischaemic heart disease,2024,Asian men vs non-Asian men,0.86,0.51,1.46,Age
adults,Ischaemic heart disease,2024,Asian women vs non-Asian women,0.91,0.46,1.78,Age
adults,Ischaemic heart disease,2024,Most deprived vs least deprived,2.06,1.32,3.21,"Age, gender, ethnic group"
adults,Ischaemic heart disease,2024,Most deprived vs least deprived - men,1.74,0.99,3.06,"Age, ethnic group"
adults,Ischaemic heart disease,2024,Most deprived vs least deprived - women,2.8,1.37,5.76,"Age, ethnic group"
adults,Ischaemic heart disease,2024,Disabled adults vs non-disabled adults,1.6,1.19,2.17,"Age, gender"
adults,Raised blood pressure (measured),2024,Men vs women,1.27,1.14,1.42,Age
adults,Raised blood pressure (measured),2024,Māori vs non-Māori,1.3,1.13,1.5,"Age, gender"
adults,Raised blood pressure (measured),2024,Māori men vs non-Māori men,1.07,0.86,1.32,Age
adults,Raised blood pressure (measured),2024,Māori women vs non-Māori women,1.6,1.36,1.88,Age
adults,Raised blood pressure (measured),2024,Pacific vs non-Pacific,1.34,1.14,1.57,"Age, gender"
adults,Raised blood pressure (measured),2024,Pacific men vs non-Pacific men,1.38,1.09,1.75,Age
adults,Raised blood pressure (measured),2024,Pacific women vs non-Pacific women,1.29,1.04,1.6,Age
adults,Raised blood pressure (measured),2024,Asian vs non-Asian,0.91,0.75,1.1,"Age, gender"
adults,Raised blood pressure (measured),2024,Asian men vs non-Asian men,0.95,0.75,1.22,Age
adults,Raised blood pressure (measured),2024,Asian women vs non-Asian women,0.82,0.61,1.11,Age
adults,Raised blood pressure (measured),2024,Most deprived vs least deprived,1.33,1.09,1.62,"Age, gender, ethnic group"
adults,Raised blood pressure (measured),2024,Most deprived vs least deprived - men,1.42,1.04,1.93,"Age, ethnic group"
adults,Raised blood pressure (measured),2024,Most deprived vs least deprived - women,1.21,0.95,1.53,"Age, ethnic group"
adults,Raised blood pressure (measured),2024,Disabled adults vs non-disabled adults,1.16,0.97,1.38,"Age, gender"
adults,Mean systolic blood pressure,2024,Men vs women,1.06,1.05,1.07,Age
adults,Mean systolic blood pressure,2024,Māori vs non-Māori,1.02,1.01,1.03,"Age, gender"
adults,Mean systolic blood pressure,2024,Māori men vs non-Māori men,1.01,0.99,1.02,Age
adults,Mean systolic blood pressure,2024,Māori women vs non-Māori women,1.03,1.02,1.05,Age
adults,Mean systolic blood pressure,2024,Pacific vs non-Pacific,1.01,0.99,1.02,"Age, gender"
adults,Mean systolic blood pressure,2024,Pacific men vs non-Pacific men,1.0,0.98,1.02,Age
adults,Mean systolic blood pressure,2024,Pacific women vs non-Pacific women,1.02,1.0,1.03,Age
adults,Mean systolic blood pressure,2024,Asian vs non-Asian,0.98,0.97,0.99,"Age, gender"
adults,Mean systolic blood pressure,2024,Asian men vs non-Asian men,0.99,0.97,1.0,Age
adults,Mean systolic blood pressure,2024,Asian women vs non-Asian women,0.97,0.96,0.98,Age
adults,Mean systolic blood pressure,2024,Most deprived vs least deprived,1.01,1.0,1.03,"Age, gender, ethnic group"
adults,Mean systolic blood pressure,2024,Most deprived vs least deprived - men,1.02,1.0,1.04,"Age, ethnic group"
adults,Mean systolic blood pressure,2024,Most deprived vs least deprived - women,1.0,0.98,1.02,"Age, ethnic group"
adults,Mean systolic blood pressure,2024,Disabled adults vs non-disabled adults,1.0,0.99,1.02,"Age, gender"
adults,Mean diastolic blood pressure,2024,Men vs women,1.02,1.01,1.03,Age
adults,Mean diastolic blood pressure,2024,Māori vs non-Māori,1.04,1.02,1.05,"Age, gender"
adults,Mean diastolic blood pressure,2024,Māori men vs non-Māori men,1.02,1.0,1.05,Age
adults,Mean diastolic blood pressure,2024,Māori women vs non-Māori women,1.05,1.03,1.06,Age
adults,Mean diastolic blood pressure,2024,Pacific vs non-Pacific,1.04,1.02,1.06,"Age, gender"
adults,Mean diastolic blood pressure,2024,Pacific men vs non-Pacific men,1.04,1.0,1.07,Age
adults,Mean diastolic blood pressure,2024,Pacific women vs non-Pacific women,1.04,1.02,1.06,Age
adults,Mean diastolic blood pressure,2024,Asian vs non-Asian,1.0,0.98,1.01,"Age, gender"
adults,Mean diastolic blood pressure,2024,Asian men vs non-Asian men,1.01,0.99,1.03,Age
adults,Mean diastolic blood pressure,2024,Asian women vs non-Asian women,0.98,0.96,1.0,Age
adults,Mean diastolic blood pressure,2024,Most deprived vs least deprived,1.01,1.0,1.03,"Age, gender, ethnic group"
adults,Mean diastolic blood pressure,2024,Most deprived vs least deprived - men,1.03,1.0,1.06,"Age, ethnic group"
adults,Mean diastolic blood pressure,2024,Most deprived vs least deprived - women,1.0,0.98,1.02,"Age, ethnic group"
adults,Mean diastolic blood pressure,2024,Disabled adults vs non-disabled adults,1.01,1.0,1.03,"Age, gender"
adults,Asthma (using treatment),2024,Men vs women,0.73,0.62,0.86,Age
adults,Asthma (using treatment),2024,Māori vs non-Māori,1.7,1.43,2.02,"Age, gender"
adults,Asthma (using treatment),2024,Māori men vs non-Māori men,1.39,0.98,1.97,Age
adults,Asthma (using treatment),2024,Māori women vs non-Māori women,1.92,1.6,2.31,Age
adults,Asthma (using treatment),2024,Pacific vs non-Pacific,1.2,0.89,1.61,"Age, gender"
